lead_id,agency,website,contact_name,target_role,email,brand_focus,fit_tier,pain_hook,personalization_hook,channel,status,sent_date,last_touch_date,next_action,next_action_date,report_sent,call_booked,pilot_offered,pilot_status,notes
ENG-001,Common Thread Collective,https://commonthreadco.com,,Founder or Head of Growth,,DTC ecommerce and paid social,A,Needs a pre-launch QA layer before media spend on beauty creative,Lead with where a beauty ad loses attention before the product lands,DM or Email,QUEUED,,,Research contact and recent ad,,No,No,No,Not offered,Strong DTC fit
ENG-002,Tinuiti,https://tinuiti.com,,Head of Paid Social,,Large paid social and ecommerce practice,B,Can use ENGRAM as a pre-launch diagnostic wedge for creative teams,Frame ENGRAM as diagnosis plus repair before launch,Email,QUEUED,,,Research contact and recent beauty case,,No,No,No,Not offered,Broader agency but relevant
ENG-003,Power Digital,https://powerdigitalmarketing.com,,VP Growth or Paid Social Lead,,Performance marketing for consumer brands,B,Creative can slip through when speed is high,Position ENGRAM as a fast launch decision layer,Email,QUEUED,,,Research contact and recent beauty account,,No,No,No,Not offered,Broader consumer fit
ENG-004,The Social Shepherd,https://thesocialshepherd.com,,Founder or Paid Social Director,,Social-first growth for ecommerce,A,Strong Meta and TikTok fit means pre-launch diagnostics are legible,Use the curiosity opener tied to paid-social creative,DM or Email,QUEUED,,,Research contact and recent beauty ad,,No,No,No,Not offered,High-fit agency
ENG-005,inBeat,https://inbeat.co,,Founder or Strategy Lead,,Performance creative and creator-led campaigns,A,Hook and reveal failures are easy to diagnose in creator-style ads,Pitch ENGRAM as a repair layer for creator-led cuts,Email,QUEUED,,,Research contact and recent ad,,No,No,No,Not offered,Strong creative angle
ENG-006,Lilo Social,https://lilosocial.com,,Founder or Growth Lead,,DTC paid social and retention,A,Can benefit from pre-launch signal before spend on DTC cuts,Reference beauty and skincare ad pressure specifically,Email,QUEUED,,,Research contact and recent ad,,No,No,No,Not offered,Strong DTC fit
ENG-007,Blue Wheel,https://bluewheelmedia.com,,Paid Social Director,,Ecommerce growth and media buying,B,High testing volume creates room for weak ads to slip through,Frame ENGRAM as launch risk reduction,Email,QUEUED,,,Research contact and recent case,,No,No,No,Not offered,Ecommerce fit
ENG-008,Group 8A,https://group8a.com,,Founder or Client Strategy Lead,,Luxury and consumer brand growth,A,Premium beauty and lifestyle work makes proof asset more resonant,Lead with one premium beauty ad breakdown,Email,QUEUED,,,Research contact and beauty client,,No,No,No,Not offered,Strong category adjacency
ENG-009,Taikun Digital,https://taikundigital.com,,Founder or Paid Media Lead,,Ecommerce and paid social,B,Can use ENGRAM as a specialist audit layer on launch decisions,Keep message simple and operational,Email,QUEUED,,,Research contact and recent ad,,No,No,No,Not offered,Good niche fit
ENG-010,Acadia,https://acadia.io,,Paid Social Lead,,Performance media and ecommerce,B,Fast-moving accounts can use pre-launch checks to catch weak creative,Position ENGRAM as speed plus avoided waste,Email,QUEUED,,,Research contact and beauty-relevant case,,No,No,No,Not offered,Broader but usable
ENG-011,NoGood,https://nogood.io,,Growth Lead,,Growth and creative testing,B,Teams testing at speed can use earlier diagnostics,Reference attention loss before spend,Email,QUEUED,,,Research contact and recent consumer ad,,No,No,No,Not offered,Creative-testing angle
ENG-012,Movers+Shakers,https://moversshakers.co,,Strategy Lead,,Social-first campaigns and creator programs,B,Strong creative culture makes ENGRAM easy to understand as a pre-launch layer,Lead with one ad-specific finding not the system,Email,QUEUED,,,Research contact and recent brand ad,,No,No,No,Not offered,Creative-first fit
ENG-013,HawkSEM,https://hawksem.com,,Paid Social Director,,Paid media and CRO,B,Can add ENGRAM as a creative diagnosis wedge before spend,Keep the pitch operational not technical,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Broader fit
ENG-014,Hunter Digital,https://hunterdigitalmarketing.com,,Founder or Media Lead,,Performance media for ecommerce,B,Media teams still need a clean pre-launch creative answer,Lead with avoidable waste and repair path,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Good performance fit
ENG-015,Brick Social,https://bricksocial.com,,Founder or Creative Strategist,,Social media and performance creative,A,Creative-specific positioning gives ENGRAM a clean wedge,Reference where the ad drops in the middle,DM or Email,QUEUED,,,Research contact and recent social ad,,No,No,No,Not offered,Good social fit
ENG-016,Sociallyin,https://sociallyin.com,,Strategy Lead,,Social-first agency,B,Social-heavy teams can use pre-launch diagnostics before paid rollout,Keep the message sharp and visual,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Social-focused
ENG-017,SmartSites,https://smartsites.com,,Paid Social Director,,Paid social and ecommerce,B,Volume across accounts creates room for weak creative,Pitch as a specialist launch filter,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Large agency
ENG-018,Disruptive Advertising,https://disruptiveadvertising.com,,Paid Social Lead,,Paid media and CRO,B,Strong paid media operators still need a pre-launch creative diagnostic layer,Frame ENGRAM as complementary to existing media ops,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Complementary fit
ENG-019,Firebelly Marketing,https://firebellymarketing.com,,Founder or Strategy Lead,,Social media strategy,B,Client-facing proof assets may resonate with social teams,Lead with a simple beauty breakdown,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Social-first
ENG-020,Socium Media,https://sociumedia.com,,Paid Social Lead,,Paid social and search,B,Can use ENGRAM to diagnose weak creative before scaling,Use avoided waste language,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Good paid social fit
ENG-021,Ladder,https://ladder.io,,Growth Lead,,Growth experimentation and media,B,Experiment-heavy teams can benefit from pre-launch pressure testing,Frame as clearer launch selection before tests,Email,QUEUED,,,Research contact,,No,No,No,Not offered,Testing-friendly fit
